car,model,type,category,sub category,price,multi allowed,base price of car,description,image,swatch color,is default
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Crystal White Metallic Clearcoat,750.0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PA3...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(205, 212, 217, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Pristine White Metallic Tri-Coat,750.0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PAZ...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(230, 229, 225, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Red Carpet Metallic Tinted Clearcoat,750.0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PD4...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(159, 0, 4, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Asher Gray Metallic Clearcoat,750.0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PM7...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(83, 83, 86, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Whisper Blue Metallic Clearcoat,750.0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PK1...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(68, 91, 114, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Harbor Gray Metallic Clearcoat,750.0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PT9...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(74, 68, 58, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Exterior Color,Paint,Infinite Black Metallic Clearcoat,0,false,39985,,https://build.ford.com/dig/Lincoln/Corsair/2026/HD-TILE-ACC%5BEXTBCK%5D/Image%5B%7CLincoln%7CCorsair%7C2026%7C1%7C1.%7C100A...PUM...89E.50E.64C.STD.%5D/EXT/1/vehicle.png,"rgba(27, 27, 29, 1)",false
2026 Lincoln Corsair®,Corsair Premiere,Equipment Collection,Package,Premiere I,0,false,39985,,,,true
2026 Lincoln Corsair®,Corsair Premiere,Equipment Collection,Package,Premiere II,3990,false,39985,,,,false
2026 Lincoln Corsair®,Corsair Premiere,Additional Package,Package,Jet Appearance Package,2500,false,39985,,,,false
2026 Lincoln Corsair®,Corsair Premiere,Additional Package,Package,Towing Package,700,false,39985,,,,false
2026 Lincoln Corsair®,Corsair Premiere,Engine,Powertrain,2.0L Turbocharged I-4 Engine with Auto Start-Stop Technology,0,false,39985,,,,true
2026 Lincoln Corsair®,Corsair Premiere,Drive Type,Powertrain,Front-Wheel Drive,0,false,39985,,,,true
2026 Lincoln Corsair®,Corsair Premiere,Drive Type,Powertrain,All-Wheel Drive,0,false,39985,,,,false
2026 Lincoln Corsair®,Corsair Premiere,Transmission,Powertrain,Eight-Speed Automatic Transmission with SelectShift® Capability,0,false,39985,,,,true
2026 Lincoln Corsair®,Corsair Premiere,Wheels,Exterior,"18"" Warm Painted Alloy Wheels",0,false,39985,,,,true
2026 Lincoln Corsair®,Corsair Premiere,Wheels,Exterior,"18"" Bright Machined Aluminum Wheels with Dark Tarnish Finish",500,false,39985,,,,false
2026 Lincoln Corsair®,Corsair Premiere,Wheels,Exterior,20” Black Aluminum Wheels,0,false,39985,,,,false
