Car,Model,base price of car,Type,Category,Sub Category,Multi Allowed,Description,Image,Price,Display Name,Swatch Image,Currently Selected
Countryman,Countryman S ALL4,40450,Trim & Style,Trim & Style,Signature Plus Trim - Classic Style,No,Classic Style,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767712014/Screenshot_2026-01-06_210417_vtllcf.png,0,Signature Plus Trim - Classic Style,,No
Countryman,Countryman S ALL4,40450,Trim & Style,Trim & Style,Signature Plus Trim - Favoured Style,No,Favoured Style,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767713029/Screenshot_2026-01-06_212340_z5utoy.png,900,Signature Plus Trim - Favoured Style,,No
Countryman,Countryman S ALL4,40450,Trim & Style,Trim & Style,Iconic Trim - Classic Style,No,Classic Style,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767713075/Screenshot_2026-01-06_212426_goswgp.png,3400,Iconic Trim - Classic Style,,No
Countryman,Countryman S ALL4,40450,Trim & Style,Trim & Style,Iconic Trim - Favoured Style,No,Favoured Style,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767713133/Screenshot_2026-01-06_212528_h4dwvw.png,4300,Iconic Trim - Favoured Style,,No
Countryman,Countryman S ALL4,40450,Trim & Style,Trim & Style,Iconic Trim - John Cooper Works Style,No,John Cooper Works Style,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767713173/Screenshot_2026-01-06_212600_dv00nw.png,4800,Iconic Trim - John Cooper Works Style,,No
Countryman,Countryman S ALL4,40450,Color,Exterior Color,Chili Red II,No,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767707383/mini_cooper_cars/countryman_s_all4/exterior_colors/mini_cooper_cars/countryman_s_all4/exterior_colors/exterior_colors_0_chili_red_ii.png,0,Chili Red II,https://assets.autointel.ai/wQz2AXc7/pBdVlqyaBWtgBq6vAekLZw,Yes
Countryman,Countryman S ALL4,40450,Color,Exterior Color,Slate Blue Metallic,No,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767707394/mini_cooper_cars/countryman_s_all4/exterior_colors/mini_cooper_cars/countryman_s_all4/exterior_colors/exterior_colors_1_slate_blue_metallic.png,650,Slate Blue Metallic,https://assets.autointel.ai/wQz2AXc7/QWGx8dFEcbfqj3pI-gdxMg,No
Countryman,Countryman S ALL4,40450,Color,Exterior Color,Smokey Green Metallic,No,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767707404/mini_cooper_cars/countryman_s_all4/exterior_colors/mini_cooper_cars/countryman_s_all4/exterior_colors/exterior_colors_2_smokey_green_metallic.png,650,Smokey Green Metallic,https://assets.autointel.ai/wQz2AXc7/-gwVaPfq0UP4e-FApSThSQ,No
Countryman,Countryman S ALL4,40450,Color,Exterior Color,Blazing Blue Metallic,No,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767707415/mini_cooper_cars/countryman_s_all4/exterior_colors/mini_cooper_cars/countryman_s_all4/exterior_colors/exterior_colors_3_blazing_blue_metallic.png,650,Blazing Blue Metallic,https://assets.autointel.ai/wQz2AXc7/27wIdJiPq7ACbG5f_fV0Kg,No
Countryman,Countryman S ALL4,40450,Color,Exterior Color,Indigo Sunset Blue Metallic,No,,https://res.cloudinary.com/dsmkxcczo/image/upload/v1767707426/mini_cooper_cars/countryman_s_all4/exterior_colors/mini_cooper_cars/countryman_s_all4/exterior_colors/exterior_colors_4_indigo_sunset_blue_metallic.png,650,Indigo Sunset Blue Metallic,https://assets.autointel.ai/wQz2AXc7/8Bfjso5U0xko2ke6_WervQ,No
